Fold_date,Total_points,Total_Folders
22-Sep-2025 00 UTC,5910.61,733
21-Sep-2025 12 UTC,6264.2,725
21-Sep-2025 00 UTC,5842.97,710
20-Sep-2025 12 UTC,6017.19,741
20-Sep-2025 00 UTC,5713.21,718
19-Sep-2025 12 UTC,5790.32,715
19-Sep-2025 00 UTC,6088.8,777
18-Sep-2025 12 UTC,5762.01,713
18-Sep-2025 00 UTC,5798.25,741
17-Sep-2025 12 UTC,5948.88,751
16-Sep-2025 12 UTC,6085.88,741
16-Sep-2025 00 UTC,6097.01,722
15-Sep-2025 12 UTC,6024.19,728
15-Sep-2025 00 UTC,6158.0,734
14-Sep-2025 12 UTC,5884.43,693
14-Sep-2025 00 UTC,6066.24,731
13-Sep-2025 12 UTC,5269.23,628
13-Sep-2025 00 UTC,6032.44,737
12-Sep-2025 12 UTC,5995.17,736
12-Sep-2025 00 UTC,5971.75,734
11-Sep-2025 12 UTC,5825.6,718
11-Sep-2025 00 UTC,5879.96,733
10-Sep-2025 12 UTC,5854.71,727
10-Sep-2025 00 UTC,6038.39,737
09-Sep-2025 12 UTC,5805.37,720
09-Sep-2025 00 UTC,5579.04,685
08-Sep-2025 12 UTC,5364.47,688
08-Sep-2025 00 UTC,6033.32,716
07-Sep-2025 12 UTC,5829.05,729
07-Sep-2025 00 UTC,5912.17,718
06-Sep-2025 12 UTC,5735.23,718
06-Sep-2025 00 UTC,5761.39,739
05-Sep-2025 12 UTC,5834.41,782
05-Sep-2025 00 UTC,6033.13,728
04-Sep-2025 12 UTC,5859.88,757
04-Sep-2025 00 UTC,5709.53,724
03-Sep-2025 12 UTC,5897.01,731
03-Sep-2025 00 UTC,5691.44,667
02-Sep-2025 12 UTC,5951.94,659
02-Sep-2025 00 UTC,5904.25,657
01-Sep-2025 12 UTC,5830.5,649
01-Sep-2025 00 UTC,5806.59,648
31-Aug-2025 12 UTC,5835.57,642
31-Aug-2025 00 UTC,5715.78,629
30-Aug-2025 00 UTC,5434.38,627
29-Aug-2025 12 UTC,5593.53,642
29-Aug-2025 00 UTC,5517.62,664
28-Aug-2025 12 UTC,5693.72,722
28-Aug-2025 00 UTC,12162.83,1467
27-Aug-2025 12 UTC,3342.39,374
27-Aug-2025 00 UTC,0,0
26-Aug-2025 12 UTC,0,0
26-Aug-2025 00 UTC,5878.73,719
25-Aug-2025 12 UTC,4833.31,571
25-Aug-2025 00 UTC,3740.67,407
24-Aug-2025 12 UTC,3752.15,418
24-Aug-2025 00 UTC,4088.8,504
23-Aug-2025 12 UTC,3744.85,424
23-Aug-2025 00 UTC,3823.56,445
22-Aug-2025 12 UTC,3765.53,451
22-Aug-2025 00 UTC,3949.08,430
21-Aug-2025 12 UTC,4005.62,452
21-Aug-2025 00 UTC,3956.85,455
20-Aug-2025 12 UTC,3983.67,450
20-Aug-2025 00 UTC,4009.63,450
19-Aug-2025 12 UTC,3859.68,450
19-Aug-2025 00 UTC,4082.09,449
18-Aug-2025 12 UTC,3800.88,424
18-Aug-2025 00 UTC,3969.61,439
17-Aug-2025 12 UTC,3894.86,432
17-Aug-2025 00 UTC,4007.56,427
16-Aug-2025 12 UTC,4241.77,553
16-Aug-2025 00 UTC,6530.57,1173
