username,payout,points,total_payout,total_points,total_wus,created_at
2mswnp5vvap5,10.61,68770,7011.72,35636104,1356,2021-04-20T00:01:11.494Z
2mzfe4fo22l5,2.39,30258,2597.42,23061774,1913,2021-03-26T13:35:49.82Z
2icerqmvqzd7,2.57,10679,466.65,3923976,59,2022-04-06T07:52:51.587Z
2ietd2eq0qmr,1.96,4662,1055.11,1511007,326,2021-05-23T05:42:04.254Z
2jug7v1el19d,2.67,8146,1515.95,1398384,217,2021-03-22T11:59:13.859Z
2fxlc60yjk61,30.61,272131,478.5,4272064,84,2022-04-03T16:04:55.491Z
2kcb3vki9p7x,43.81,487726,26737.28,250526965,1699,2021-02-24T18:45:09.240Z
2ivgkgpm33xv,34.83,1424700,15213.94,295872908,1886,2021-01-05T08:44:39.286Z
2jm2xznmnkgp,2.67,3400,543.09,2601733,404,2022-01-07T18:16:11.172Z
2g1yf7rkhxl6,43.83,488095,4505.63,46499616,514,2022-02-15T00:23:17.723Z
2gevicff9qhg,19.66,146964,5263.0,37921038,397,2021-05-13T19:36:32.318Z
2fez9nyuelxb,57.17,804665,11629.94,156229776,959,2021-07-19T14:34:02.432Z
2cse8aydewkp,47.14,555520,2838.09,20370995,245,2021-02-18T08:57:34.969Z
2a955n033zle,84.21,1962553,4687.28,112809930,388,2022-03-19T20:23:23.406Z
2ddsqkmgdxvp,6.07,36486,2598.26,22470533,894,2021-10-31T20:38:55.849Z
2bnznaifirbb,61.0,919425,14561.01,243072736,1137,2021-11-05T11:48:53.876Z
2e8l3e6awjkv,12.57,119517,6141.71,54717340,1254,2021-05-13T09:51:45.981Z
2az4yzbwpp6m,55.46,757463,14668.65,158356733,486,2021-04-15T15:32:50.884Z
2e8a2682i512,34.28,893429,23380.35,404966785,3924,2021-03-09T01:23:39.797Z
29dqfrr73dsy,4.16,4225,2773.35,3133974,931,2021-05-11T18:13:10.820Z
2eckn8qi3vun,27.74,137973,15333.19,73156544,735,2021-04-01T21:03:14.466Z
29i1oe6kw2uc,5.93,20005,428167.47,396764852,8153,2019-04-12T13:07:15.219Z
29773ok5vme7,31.18,280447,7704.85,88690465,477,2022-01-14T09:45:47.698Z
2649yqzr05jm,2.6,8368,541.55,772315,161,2021-05-19T17:21:43.678Z
28t4wtj6e8dt,38.82,396183,6716.63,70723818,262,2021-11-15T22:59:58.157Z
27ekt5qmzo5o,59.56,875792,9003.31,113152052,652,2021-12-15T15:57:16.615Z
298868hfdopm,2.63,9867,904.64,1993461,367,2021-07-31T10:40:28.667Z
28mvbgra48bg,24.87,201941,4393.73,33548516,264,2021-01-30T12:33:06.411Z
25r9yfxvdkho,2.65,4600,50.31,92935,31,2021-11-20T00:00:30.341Z
26b1yiorot0k,26.81,178100,23035.49,157692947,6445,2021-04-18T23:19:04.266Z
27pykfrzczql,64.21,1026017,38804.27,599413094,4032,2021-04-26T18:15:26.716Z
25dk6iiqewg6,59.59,876521,39468.42,685739957,14101,2021-05-08T19:10:28.15Z
22py59f377vi,13.36,90000,18.57,106175,4,2022-04-07T12:51:15.912Z
22xhorm7anva,45.29,517440,8419.63,105935834,227,2021-10-04T01:17:43.270Z
22wu9rmfslfu,11.62,76558,3928.25,43490992,120,2021-12-10T17:57:55.612Z
259syn962squ,2.68,3600,184.9,377717,93,2021-10-23T17:25:37.921Z
247aqryftcr9,2.65,4143,803.42,2415623,362,2021-10-31T04:14:41.459Z
24h2v3s3914j,43.11,473065,14837.76,136243096,1932,2021-05-16T21:41:58.571Z
22mt5warhm0p,4.1,3528,22339.59,75701706,2400,2019-10-02T19:17:26.461Z
22lzwkrjvppg,65.99,485550,41021.02,362180098,1865,2021-07-01T15:57:32.997Z
21vmcuqmsoex,41.7,447860,8723.41,73727174,248,2021-05-08T12:11:43.694Z
24iq3mehpocq,149.88,1992170,143908.3,613566024,8259,2019-04-12T22:09:42.256Z
20etbqpmc56p,2.61,3500,139.83,831797,51,2022-03-14T02:24:52.872Z
1z0ync6b9pl4,54.45,729879,1153.52,13398821,175,2022-04-07T14:24:40.639Z
20at8xvho9j2,16.25,115000,22.86,149496,6,2022-04-06T14:31:55.569Z
20mbaa1c2rcx,27.59,234144,7605.07,87224855,677,2021-10-19T16:46:31.48Z
21ohe5531muf,26.82,224560,3004.05,27731536,196,2022-02-10T23:11:12.323Z
2046boy9wyuf,25.55,209458,18713.17,171683748,2163,2021-05-07T22:01:41.445Z
1zbisj2t596z,20.13,151570,6308.18,56312175,1250,2021-10-30T04:09:02.861Z
1zqxxrh4nlt4,4.21,8189,6906.0,26466053,1639,2021-05-21T10:26:01.136Z
1yv319huy71w,52.85,689099,5222.81,53978520,547,2021-07-19T16:18:27.275Z
1yon4b9z0tzg,4.63,27370,15019.93,153870430,1736,2021-04-26T22:32:19.604Z
1xz2j0jldrqi,2.64,10422,249.5,553394,127,2021-11-15T23:22:34.380Z
1xfkhvnnvkkx,28.57,246510,1660.78,7587172,146,2020-03-16T13:15:26.652Z
1xnnnpgp3uoh,35.72,346538,8984.64,109500958,824,2021-12-11T08:30:18.141Z
1wl07r6dtrrw,56.58,788431,9951.88,116407583,947,2021-10-29T20:39:12.200Z
1xnc2xwub6ff,2.58,9183,440.52,2439577,119,2021-11-07T02:06:58.780Z
1wjj4x7kflah,88.93,1580244,53919.32,227671181,791,2019-04-15T16:18:27.707Z
1w4ywnapp8dl,2.63,4804,536.01,2169765,96,2021-07-10T09:27:55.380Z
1y5sqaz9k44d,2.66,15230,17485.63,106944524,1829,2021-03-31T10:51:07.681Z
